NODR30A,ALCTRY,ALCREC,IRALCFY,ALCYDAYS,TOTDRINK,IRSEX,AGE_YRS,BOOKED
3,11,1,260,4,260,2,26,1
3,21,1,10,1,10,2,22,2
10,17,1,156,4,156,1,18,2
3,16,1,365,5,365,1,35,1
2,21,1,4,1,4,2,24,2
1,13,1,52,3,52,2,17,2
5,18,1,36,2,36,2,35,2
8,18,1,60,3,60,1,24,2
2,15,1,156,4,156,2,35,2
2,22,1,156,4,156,2,50,2
4,18,1,52,3,52,2,22,2
3,14,1,36,2,36,2,16,2
3,15,1,104,4,104,1,35,2
5,14,1,208,4,208,1,26,1
24,6,1,72,3,72,1,24,1
1,16,1,120,4,120,2,19,2
4,13,1,84,3,84,1,18,1
8,13,1,15,2,15,1,30,2
1,16,1,10,1,10,2,50,2
2,12,1,20,2,20,2,20,2
4,10,1,156,4,156,1,21,2
9,12,1,7,1,7,2,17,2
6,16,1,156,4,156,2,21,2
3,15,1,24,2,24,2,17,2
2,16,1,260,4,260,1,35,2
4,19,1,20,2,20,2,26,1
5,18,1,156,4,156,2,26,2
4,17,1,260,4,260,1,50,1
3,15,1,104,4,104,2,35,2
3,18,1,12,2,12,1,21,2
4,14,1,312,5,312,1,21,2
1,18,1,1,1,1,2,18,2
4,16,1,104,4,104,2,20,2
6,16,1,24,2,24,1,20,1
10,15,1,208,4,208,1,22,2
6,12,1,300,5,300,1,20,2
1,18,1,36,2,36,2,35,2
2,15,1,84,3,84,2,19,2
3,13,1,36,2,36,2,19,2
1,15,1,84,3,84,1,35,2
1,18,1,156,4,156,1,50,1
10,14,1,156,4,156,1,20,1
3,14,1,156,4,156,2,24,2
4,18,1,60,3,60,2,22,2
12,16,1,96,3,96,1,24,2
5,13,1,104,4,104,1,24,2
1,13,1,1,1,1,2,26,1
3,17,1,24,2,24,1,26,1
1,18,1,5,1,5,1,22,2
4,18,1,104,4,104,2,22,2
15,15,1,36,2,36,1,22,1
2,16,1,156,4,156,2,50,2
1,14,1,24,2,24,1,30,2
4,15,1,24,2,24,1,17,2
2,18,1,48,2,48,1,24,2
2,14,1,104,4,104,1,50,1
8,14,1,8,1,8,1,24,2
3,10,1,12,2,12,2,20,2
4,20,1,156,4,156,1,21,2
6,16,1,156,4,156,1,30,2
10,12,1,250,4,250,1,19,2
1,16,1,52,3,52,2,50,2
3,15,1,156,4,156,2,21,1
2,10,1,156,4,156,1,16,2
1,18,1,24,2,24,2,24,1
5,16,1,104,4,104,2,21,2
6,14,1,156,4,156,2,35,2
2,14,1,12,2,12,2,15,2
1,20,1,8,1,8,2,35,2
5,16,1,40,2,40,1,19,2
5,12,1,208,4,208,1,30,2
1,15,1,12,2,12,2,21,2
9,14,1,104,4,104,2,22,2
2,12,1,30,2,30,2,18,1
4,19,1,41,2,52,2,20,2
12,15,1,364,5,364,1,35,1
6,20,1,15,2,15,1,22,1
1,17,1,3,1,3,1,50,2
2,13,1,156,4,156,2,35,1
4,16,1,260,4,260,2,50,2
10,15,1,260,4,260,1,21,1
2,16,1,60,3,60,1,35,2
5,15,1,72,3,72,2,19,2
8,18,1,52,3,52,1,26,2
3,15,1,70,3,70,2,21,2
1,10,1,276,4,276,1,35,2
13,13,1,260,4,260,1,21,2
2,15,1,24,2,24,1,22,2
3,10,1,52,3,52,1,13,2
1,16,1,208,4,208,1,35,2
